{'loss': 0.1762, 'grad_norm': 2.59375, 'learning_rate': 1.8750000000000002e-05, 'logps/policy': -54.32544708251953, 'logps/anchor': 0.1578218638896942}
{'loss': 0.1201, 'grad_norm': 1.9140625, 'learning_rate': 1.871875e-05, 'logps/policy': -47.55402374267578, 'logps/anchor': 0.09696247428655624}
{'loss': 0.1249, 'grad_norm': 2.25, 'learning_rate': 1.86875e-05, 'logps/policy': -64.35838317871094, 'logps/anchor': 0.08452382683753967}
{'loss': 0.1296, 'grad_norm': 1.96875, 'learning_rate': 1.8656250000000003e-05, 'logps/policy': -58.909305572509766, 'logps/anchor': 0.09940102696418762}
{'loss': 0.134, 'grad_norm': 2.0, 'learning_rate': 1.8625000000000002e-05, 'logps/policy': -76.93351745605469, 'logps/anchor': 0.09488577395677567}
{'loss': 0.1649, 'grad_norm': 2.265625, 'learning_rate': 1.859375e-05, 'logps/policy': -56.495704650878906, 'logps/anchor': 0.1456165909767151}
{'loss': 0.1454, 'grad_norm': 2.40625, 'learning_rate': 1.85625e-05, 'logps/policy': -57.38384246826172, 'logps/anchor': 0.1232491284608841}
{'loss': 0.1392, 'grad_norm': 2.140625, 'learning_rate': 1.853125e-05, 'logps/policy': -61.87693405151367, 'logps/anchor': 0.09858126938343048}
{'loss': 0.1194, 'grad_norm': 1.921875, 'learning_rate': 1.8500000000000002e-05, 'logps/policy': -38.20033645629883, 'logps/anchor': 0.10372781753540039}
{'loss': 0.1487, 'grad_norm': 1.9921875, 'learning_rate': 1.846875e-05, 'logps/policy': -73.13079071044922, 'logps/anchor': 0.10522449016571045}
{'loss': 0.1542, 'grad_norm': 2.078125, 'learning_rate': 1.84375e-05, 'logps/policy': -52.63348388671875, 'logps/anchor': 0.13867545127868652}
{'loss': 0.1767, 'grad_norm': 2.390625, 'learning_rate': 1.840625e-05, 'logps/policy': -63.13374328613281, 'logps/anchor': 0.15393319725990295}
{'loss': 0.1403, 'grad_norm': 2.34375, 'learning_rate': 1.8375e-05, 'logps/policy': -38.90855407714844, 'logps/anchor': 0.1276165097951889}
{'loss': 0.1874, 'grad_norm': 2.84375, 'learning_rate': 1.8343750000000002e-05, 'logps/policy': -54.03836441040039, 'logps/anchor': 0.1726834923028946}
{'loss': 0.1834, 'grad_norm': 2.671875, 'learning_rate': 1.83125e-05, 'logps/policy': -43.15915298461914, 'logps/anchor': 0.17195472121238708}
{'loss': 0.1577, 'grad_norm': 2.140625, 'learning_rate': 1.828125e-05, 'logps/policy': -59.61186218261719, 'logps/anchor': 0.13683080673217773}
{'loss': 0.1379, 'grad_norm': 2.09375, 'learning_rate': 1.825e-05, 'logps/policy': -51.95985412597656, 'logps/anchor': 0.11594395339488983}
{'loss': 0.109, 'grad_norm': 1.921875, 'learning_rate': 1.821875e-05, 'logps/policy': -50.94140625, 'logps/anchor': 0.08152661472558975}
{'loss': 0.1084, 'grad_norm': 1.859375, 'learning_rate': 1.81875e-05, 'logps/policy': -45.69181823730469, 'logps/anchor': 0.08838401734828949}
{'loss': 0.1078, 'grad_norm': 1.9453125, 'learning_rate': 1.815625e-05, 'logps/policy': -47.09843444824219, 'logps/anchor': 0.07876557111740112}
{'loss': 0.1653, 'grad_norm': 3.296875, 'learning_rate': 1.8125e-05, 'logps/policy': -62.99026107788086, 'logps/anchor': 0.1275213360786438}
{'loss': 0.166, 'grad_norm': 3.1875, 'learning_rate': 1.809375e-05, 'logps/policy': -60.32503128051758, 'logps/anchor': 0.13521482050418854}
{'loss': 0.1463, 'grad_norm': 2.234375, 'learning_rate': 1.8062500000000002e-05, 'logps/policy': -66.226806640625, 'logps/anchor': 0.11238826811313629}
{'loss': 0.1378, 'grad_norm': 1.828125, 'learning_rate': 1.803125e-05, 'logps/policy': -81.40682220458984, 'logps/anchor': 0.09596996754407883}
{'loss': 0.144, 'grad_norm': 2.1875, 'learning_rate': 1.8e-05, 'logps/policy': -54.300933837890625, 'logps/anchor': 0.12204715609550476}
{'loss': 0.098, 'grad_norm': 1.90625, 'learning_rate': 1.7968750000000003e-05, 'logps/policy': -31.422616958618164, 'logps/anchor': 0.086565300822258}
{'loss': 0.1581, 'grad_norm': 2.578125, 'learning_rate': 1.7937500000000002e-05, 'logps/policy': -29.741519927978516, 'logps/anchor': 0.167231485247612}
{'loss': 0.1798, 'grad_norm': 2.734375, 'learning_rate': 1.790625e-05, 'logps/policy': -23.228248596191406, 'logps/anchor': 0.1996324509382248}
{'loss': 0.1323, 'grad_norm': 2.0, 'learning_rate': 1.7875e-05, 'logps/policy': -42.014381408691406, 'logps/anchor': 0.129023477435112}
{'loss': 0.1379, 'grad_norm': 2.296875, 'learning_rate': 1.7843750000000003e-05, 'logps/policy': -30.03993034362793, 'logps/anchor': 0.14430421590805054}
{'loss': 0.0933, 'grad_norm': 1.859375, 'learning_rate': 1.7812500000000003e-05, 'logps/policy': -29.459774017333984, 'logps/anchor': 0.08440926671028137}
{'loss': 0.1291, 'grad_norm': 2.140625, 'learning_rate': 1.7781250000000002e-05, 'logps/policy': -29.024784088134766, 'logps/anchor': 0.13891035318374634}
{'loss': 0.1304, 'grad_norm': 2.265625, 'learning_rate': 1.775e-05, 'logps/policy': -35.8286247253418, 'logps/anchor': 0.1292126625776291}
{'loss': 0.1125, 'grad_norm': 3.53125, 'learning_rate': 1.7718750000000004e-05, 'logps/policy': -31.190034866333008, 'logps/anchor': 0.11369016766548157}
{'loss': 0.1087, 'grad_norm': 2.15625, 'learning_rate': 1.7687500000000003e-05, 'logps/policy': -22.204833984375, 'logps/anchor': 0.11347291618585587}
{'loss': 0.0875, 'grad_norm': 2.0625, 'learning_rate': 1.7656250000000002e-05, 'logps/policy': -32.77492141723633, 'logps/anchor': 0.0740819051861763}
{'loss': 0.1174, 'grad_norm': 2.171875, 'learning_rate': 1.7625e-05, 'logps/policy': -31.174137115478516, 'logps/anchor': 0.11849166452884674}
{'loss': 0.0974, 'grad_norm': 2.328125, 'learning_rate': 1.759375e-05, 'logps/policy': -18.732128143310547, 'logps/anchor': 0.10028668493032455}
{'loss': 0.1024, 'grad_norm': 2.34375, 'learning_rate': 1.7562500000000003e-05, 'logps/policy': -30.9350528717041, 'logps/anchor': 0.09500464051961899}
{'loss': 0.083, 'grad_norm': 1.9765625, 'learning_rate': 1.7531250000000003e-05, 'logps/policy': -22.64920997619629, 'logps/anchor': 0.07899945974349976}
{'loss': 0.1466, 'grad_norm': 2.359375, 'learning_rate': 1.7500000000000002e-05, 'logps/policy': -48.39444351196289, 'logps/anchor': 0.1284514218568802}
{'loss': 0.0753, 'grad_norm': 1.8125, 'learning_rate': 1.746875e-05, 'logps/policy': -22.57906723022461, 'logps/anchor': 0.06941959261894226}
{'loss': 0.1813, 'grad_norm': 2.921875, 'learning_rate': 1.74375e-05, 'logps/policy': -27.735456466674805, 'logps/anchor': 0.21204830706119537}
{'loss': 0.0739, 'grad_norm': 1.4921875, 'learning_rate': 1.7406250000000003e-05, 'logps/policy': -22.229408264160156, 'logps/anchor': 0.06914988905191422}
{'loss': 0.0922, 'grad_norm': 1.7421875, 'learning_rate': 1.7375000000000002e-05, 'logps/policy': -28.383087158203125, 'logps/anchor': 0.08876693248748779}
{'loss': 0.1076, 'grad_norm': 2.21875, 'learning_rate': 1.734375e-05, 'logps/policy': -19.5745906829834, 'logps/anchor': 0.10929259657859802}
{'loss': 0.101, 'grad_norm': 2.484375, 'learning_rate': 1.73125e-05, 'logps/policy': -31.72830581665039, 'logps/anchor': 0.09207188338041306}
{'loss': 0.0918, 'grad_norm': 1.78125, 'learning_rate': 1.728125e-05, 'logps/policy': -27.71552848815918, 'logps/anchor': 0.08858712762594223}
{'loss': 0.115, 'grad_norm': 2.15625, 'learning_rate': 1.7250000000000003e-05, 'logps/policy': -38.32286071777344, 'logps/anchor': 0.10473241657018661}
{'loss': 0.0758, 'grad_norm': 1.703125, 'learning_rate': 1.7218750000000002e-05, 'logps/policy': -23.38829231262207, 'logps/anchor': 0.06876684725284576}
{'loss': 0.1039, 'grad_norm': 1.9375, 'learning_rate': 1.71875e-05, 'logps/policy': -23.804893493652344, 'logps/anchor': 0.09952109307050705}
